,期数,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2
0,25001,05,08,16,17,27,04,07
1,24152,01,02,07,08,31,02,10
2,24151,05,12,17,19,35,10,11
3,24150,04,11,23,25,34,05,07
4,24149,02,05,16,18,22,07,09
5,24148,06,09,20,32,35,08,11
6,24147,12,18,21,22,31,01,07
7,24146,05,20,21,22,32,03,04
8,24145,01,06,09,22,24,01,03
9,24144,06,07,08,21,30,01,05
10,24143,16,20,22,24,31,04,05
11,24142,08,21,24,33,34,03,10
12,24141,02,06,07,16,20,02,11
13,24140,03,06,15,23,31,01,12
14,24139,05,12,20,23,24,05,07
15,24138,05,17,20,28,34,04,09
16,24137,08,15,16,17,21,02,05
17,24136,01,17,20,29,34,07,08
18,24135,06,08,22,24,30,03,08
19,24134,01,04,07,13,33,05,06
20,24133,08,10,14,22,29,04,06
21,24132,05,06,10,16,31,06,09
22,24131,02,03,04,21,26,02,03
23,24130,11,21,25,31,32,04,10
24,24129,07,19,30,31,34,05,07
25,24128,03,07,10,29,31,01,03
26,24127,02,03,10,16,28,07,10
27,24126,02,10,17,28,34,07,08
28,24125,10,14,19,24,26,01,10
29,24124,02,03,07,10,25,01,11
30,24123,03,09,16,30,31,08,09
31,24122,05,06,09,15,17,03,10
32,24121,07,15,18,24,33,04,05
33,24120,04,12,17,23,27,02,08
34,24119,06,12,28,30,33,02,07
35,24118,01,03,09,16,19,05,11
36,24117,02,10,22,26,28,02,04
37,24116,01,03,06,16,25,01,11
38,24115,03,04,12,19,24,08,12
39,24114,12,27,30,34,35,05,11
40,24113,16,18,25,26,33,04,08
41,24112,05,15,24,31,34,03,10
42,24111,03,09,19,27,30,07,11
43,24110,01,07,08,18,28,04,12
44,24109,12,23,26,27,28,03,11
45,24108,16,17,21,31,34,03,08
46,24107,06,14,16,18,34,03,10
47,24106,05,11,19,22,29,02,12
48,24105,14,20,21,28,32,09,11
49,24104,01,04,09,13,17,06,09
50,24103,19,21,29,32,33,06,08
51,24102,01,05,09,14,20,05,11
52,24101,16,19,22,27,35,06,10
53,24100,02,12,19,22,32,05,11
54,24099,04,10,24,31,35,05,08
55,24098,03,10,15,19,29,09,10
56,24097,07,11,12,14,19,02,08
57,24096,02,03,23,27,31,01,10
58,24095,01,07,19,26,27,03,05
59,24094,12,13,24,29,31,02,08
60,24093,16,24,26,28,29,08,12
61,24092,02,04,25,26,31,01,06
62,24091,01,08,11,17,21,01,02
63,24090,02,03,06,28,33,07,11
64,24089,05,06,29,30,34,07,08
65,24088,01,02,23,28,32,03,05
66,24087,07,10,20,28,34,05,10
67,24086,11,12,14,22,28,07,11
68,24085,02,09,16,29,35,01,06
69,24084,04,11,16,17,23,05,10
70,24083,09,11,12,13,30,07,09
71,24082,08,21,23,24,26,04,05
72,24081,14,15,25,27,34,01,10
73,24080,03,05,24,27,28,09,11
74,24079,03,08,17,18,23,06,11
75,24078,05,07,10,14,15,04,07
76,24077,01,03,25,26,29,06,12
77,24076,01,06,22,27,35,07,12
78,24075,08,17,26,28,32,01,10
79,24074,02,10,11,21,27,09,11
80,24073,07,09,12,21,23,05,09
81,24072,04,17,21,23,32,01,06
82,24071,06,10,15,34,35,02,10
83,24070,04,20,21,32,34,02,09
84,24069,07,09,16,20,24,03,07
85,24068,15,20,31,32,33,05,10
86,24067,03,11,14,20,22,06,09
87,24066,13,19,20,24,25,06,07
88,24065,05,10,18,26,27,03,06
89,24064,05,12,21,32,33,08,09
90,24063,07,12,16,33,34,01,03
91,24062,05,14,15,16,33,03,05
92,24061,01,12,19,31,33,05,08
93,24060,03,21,25,28,30,01,12
94,24059,17,18,20,25,31,03,12
95,24058,06,10,13,20,32,01,02
96,24057,09,25,30,33,34,03,09
97,24056,16,17,18,27,35,06,12
98,24055,07,17,22,30,34,05,07
99,24054,05,06,09,11,22,01,03
100,24053,01,07,19,20,35,03,09
101,24052,02,03,13,22,34,04,08
102,24051,05,21,22,23,29,01,02
103,24050,03,04,14,18,26,07,09
104,24049,04,06,09,10,22,01,08
105,24048,12,18,21,26,28,08,09
106,24047,11,19,21,26,35,10,11
107,24046,06,12,17,29,30,07,11
108,24045,09,10,14,31,32,03,08
109,24044,03,13,15,17,22,06,10
