,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
0,25001,02,03,17,18,22,33,16
1,24151,05,10,16,19,29,32,04
2,24150,13,14,20,22,26,32,02
3,24149,03,09,16,17,18,22,16
4,24148,02,06,15,16,21,23,11
5,24147,05,11,13,16,21,30,10
6,24146,02,04,11,22,27,32,10
7,24145,01,03,16,22,23,30,03
8,24144,02,09,11,17,20,30,11
9,24143,02,05,11,22,30,33,10
10,24142,04,06,13,21,22,25,06
11,24141,01,02,07,15,24,29,12
12,24140,04,07,08,17,22,26,15
13,24139,15,16,20,22,23,29,14
14,24138,02,07,11,21,27,28,02
15,24137,04,09,10,19,26,27,12
16,24136,03,11,15,21,25,26,03
17,24135,05,11,17,18,30,31,13
18,24134,02,04,13,16,18,20,16
19,24133,01,11,15,27,30,33,01
20,24132,01,04,25,27,28,33,03
21,24131,04,05,11,15,20,32,13
22,24130,01,08,12,17,19,24,16
23,24129,09,10,13,19,24,32,01
24,24128,01,08,13,18,20,26,16
25,24127,02,05,13,20,27,32,10
26,24126,14,18,23,24,26,33,10
27,24125,01,04,13,18,26,30,03
28,24124,02,14,15,17,25,30,11
29,24123,02,15,22,26,30,33,04
30,24122,05,07,09,16,17,29,15
31,24121,01,07,10,13,27,33,03
32,24120,01,05,07,11,18,19,07
33,24119,02,09,26,27,31,32,14
34,24118,02,03,04,06,11,15,14
35,24117,03,12,14,16,29,32,12
36,24116,01,15,20,22,31,32,03
37,24115,03,10,11,19,27,28,07
38,24114,07,11,18,24,27,32,04
39,24113,04,05,23,24,26,31,11
40,24112,08,11,16,25,29,32,03
41,24111,01,04,11,12,22,30,16
42,24110,04,13,17,23,25,33,14
43,24109,03,04,24,28,29,33,09
44,24108,01,08,09,23,24,30,08
45,24107,01,06,08,13,17,19,09
46,24106,03,08,11,22,31,33,04
47,24105,02,05,17,19,29,33,04
48,24104,05,16,23,24,26,29,04
49,24103,12,21,23,27,32,33,15
50,24102,09,15,18,21,22,25,01
51,24101,08,12,15,17,19,30,08
52,24100,13,14,19,20,27,30,05
53,24099,04,12,17,24,26,27,16
54,24098,03,08,10,20,30,31,02
55,24097,04,10,12,13,18,30,03
56,24096,02,04,14,18,23,27,13
57,24095,04,06,09,14,16,21,03
58,24094,06,13,17,22,25,27,09
59,24093,01,05,07,11,12,15,12
60,24092,03,08,11,12,18,29,05
61,24091,13,15,16,19,20,24,10
62,24090,07,11,17,24,31,32,12
63,24089,03,06,09,15,18,31,01
64,24088,03,08,10,17,30,32,10
65,24087,03,09,18,19,20,26,11
66,24086,17,19,20,23,25,31,02
67,24085,01,05,15,21,23,27,15
68,24084,01,08,10,13,19,29,13
69,24083,03,09,14,29,32,33,15
70,24082,01,02,13,16,17,29,16
71,24081,01,06,12,17,23,25,04
72,24080,06,11,12,27,29,30,13
73,24079,02,03,06,07,16,26,04
74,24078,05,09,14,21,22,26,12
75,24077,01,04,06,14,17,22,08
76,24076,03,22,24,27,29,32,15
77,24075,03,05,08,18,22,28,01
78,24074,07,08,10,22,24,32,07
79,24073,03,09,12,18,28,30,01
80,24072,01,14,20,21,23,27,06
81,24071,02,08,19,28,30,31,14
82,24070,04,13,18,20,22,28,05
83,24069,06,13,20,21,24,32,06
84,24068,01,02,07,19,20,21,01
85,24067,01,11,13,17,25,29,03
86,24066,08,09,12,22,26,32,13
87,24065,03,05,09,10,19,22,14
88,24064,06,08,17,18,28,30,05
89,24063,07,14,16,23,28,32,04
90,24062,01,07,10,16,18,27,16
91,24061,01,09,18,22,25,28,02
92,24060,01,02,06,10,22,28,15
93,24059,01,03,14,25,31,33,07
94,24058,08,12,13,17,27,29,13
95,24057,03,08,17,18,23,31,08
96,24056,05,18,20,24,25,26,06
97,24055,02,04,06,07,16,29,03
98,24054,08,13,20,25,31,32,03
99,24053,07,14,21,22,28,33,07
100,24052,07,10,11,15,17,21,03
101,24051,05,09,13,20,23,28,06
102,24050,01,03,07,10,22,33,02
103,24049,12,15,17,23,26,32,11
104,24048,02,09,15,19,26,28,02
105,24047,07,08,21,26,29,30,15
106,24046,02,06,10,11,17,29,15
107,24045,02,08,19,23,24,26,03
108,24044,02,06,17,25,32,33,06
109,24043,04,06,07,14,15,24,08
110,24042,02,04,05,14,26,32,14
111,24041,02,09,12,22,25,33,16
112,24040,11,14,18,19,23,26,02
113,24039,02,06,12,29,30,31,10
114,24038,08,10,18,23,27,31,02
115,24037,01,04,05,06,12,14,13
116,24036,02,08,09,12,21,31,02
117,24035,05,07,14,17,22,32,06
118,24034,02,09,12,19,21,31,04
119,24033,06,10,11,18,20,32,05
120,24032,01,03,04,11,12,21,16
121,24031,09,10,13,25,30,32,02
122,24030,01,08,22,25,29,33,10
123,24029,12,18,23,25,28,33,04
124,24028,03,07,08,11,18,19,05
125,24027,02,06,13,27,28,32,13
126,24026,04,07,18,19,20,25,06
127,24025,08,15,21,22,25,33,13
128,24024,03,07,21,24,26,30,10
129,24023,01,10,22,25,28,32,10
130,24022,02,09,11,14,18,26,06
131,24021,04,06,16,17,23,24,11
132,24020,03,08,12,14,17,33,08
133,24019,05,11,12,16,17,20,08
134,24018,06,15,17,24,28,29,16
135,24017,04,17,19,20,25,32,04
136,24016,07,12,20,24,32,33,04
137,24015,03,08,17,18,20,30,15
138,24014,01,02,10,22,24,25,13
139,24013,01,07,10,14,21,25,07
140,24012,01,03,07,18,22,28,15
141,24011,08,12,16,20,27,31,06
142,24010,11,16,20,21,23,24,04
143,24009,01,04,07,10,17,23,14
144,24008,08,20,21,23,27,30,13
145,24007,04,05,06,07,20,22,15
146,24006,07,18,20,21,26,32,05
147,24005,05,06,20,23,25,32,03
148,24004,09,13,17,18,21,27,04
149,24003,01,05,08,13,32,33,03
150,24002,04,09,10,17,19,20,09
151,24001,03,07,16,26,27,32,16
152,23151,01,15,16,20,25,27,05
153,23150,10,17,25,26,30,33,05
154,23149,02,10,19,24,26,33,15
155,23148,03,05,07,09,19,20,08
156,23147,05,06,14,16,19,32,12
157,23146,02,03,06,11,20,32,09
158,23145,07,10,21,22,23,24,11
159,23144,12,16,17,22,25,27,08
160,23143,05,07,09,16,23,30,15
161,23142,02,08,20,21,27,33,14
162,23141,01,08,11,12,21,23,03
163,23140,03,04,11,14,30,31,05
164,23139,12,14,19,21,27,31,11
165,23138,03,22,28,30,31,33,04
166,23137,03,12,17,19,23,27,11
167,23136,03,05,10,21,22,26,10
168,23135,05,06,11,13,28,30,07
169,23134,05,08,09,17,22,33,04
170,23133,04,05,10,14,22,25,03
171,23132,03,09,11,15,25,27,01
172,23131,06,07,14,20,26,32,01
173,23130,04,10,17,22,23,32,16
174,23129,08,09,12,17,32,33,04
175,23128,07,16,20,21,27,33,01
176,23127,03,08,19,22,26,32,14
177,23126,10,24,26,28,29,31,16
178,23125,11,14,15,27,30,33,04
179,23124,02,03,17,18,25,30,11
180,23123,10,13,15,22,29,32,15
181,23122,07,08,14,18,20,30,05
182,23121,02,12,16,25,30,31,12
183,23120,03,08,13,24,27,29,08
184,23119,01,02,03,19,21,28,15
185,23118,01,02,11,19,25,29,04
186,23117,02,11,14,17,18,28,08
187,23116,02,08,09,13,24,27,12
188,23115,02,07,16,21,26,27,16
189,23114,07,09,15,16,17,26,09
190,23113,01,02,13,18,25,27,03
191,23112,09,12,13,22,24,31,04
192,23111,05,06,12,17,20,33,09
193,23110,02,06,20,25,29,33,16
194,23109,06,08,10,13,16,28,13
195,23108,01,03,06,08,18,24,09
196,23107,03,07,18,25,29,33,14
197,23106,07,09,10,20,22,24,07
198,23105,01,03,05,26,30,32,16
199,23104,10,19,23,25,30,31,12
200,23103,05,06,13,24,25,29,15
201,23102,01,09,10,13,21,28,10
202,23101,01,05,09,15,18,26,04
203,23100,05,06,12,15,23,25,04
204,23099,09,11,14,19,27,33,05
205,23098,02,10,11,14,21,27,11
206,23097,01,09,14,19,29,30,15
207,23096,08,11,18,26,31,32,15
208,23095,03,08,16,17,22,26,11
209,23094,06,10,12,14,30,31,12
210,23093,10,21,24,25,27,32,07
211,23092,03,12,24,25,32,33,13
212,23091,16,20,22,26,30,32,16
213,23090,01,02,09,26,30,31,07
214,23089,08,13,15,27,28,31,11
215,23088,01,14,18,26,31,33,05
216,23087,02,09,15,17,28,33,01
217,23086,08,09,10,22,26,32,12
218,23085,11,18,23,24,31,33,13
219,23084,09,13,14,17,19,27,03
220,23083,07,10,12,16,17,30,12
221,23082,04,18,19,24,27,30,16
