,0,1,2,3,4,5,6,7,8
0,0,25001,2,3,17,18,22,33,16
1,1,24151,5,10,16,19,29,32,4
2,2,24150,13,14,20,22,26,32,2
3,3,24149,3,9,16,17,18,22,16
4,4,24148,2,6,15,16,21,23,11
5,5,24147,5,11,13,16,21,30,10
6,6,24146,2,4,11,22,27,32,10
7,7,24145,1,3,16,22,23,30,3
8,8,24144,2,9,11,17,20,30,11
9,9,24143,2,5,11,22,30,33,10
10,10,24142,4,6,13,21,22,25,6
11,11,24141,1,2,7,15,24,29,12
12,12,24140,4,7,8,17,22,26,15
13,13,24139,15,16,20,22,23,29,14
14,14,24138,2,7,11,21,27,28,2
15,15,24137,4,9,10,19,26,27,12
16,16,24136,3,11,15,21,25,26,3
17,17,24135,5,11,17,18,30,31,13
18,18,24134,2,4,13,16,18,20,16
19,19,24133,1,11,15,27,30,33,1
20,20,24132,1,4,25,27,28,33,3
21,21,24131,4,5,11,15,20,32,13
22,22,24130,1,8,12,17,19,24,16
23,23,24129,9,10,13,19,24,32,1
24,24,24128,1,8,13,18,20,26,16
25,25,24127,2,5,13,20,27,32,10
26,26,24126,14,18,23,24,26,33,10
27,27,24125,1,4,13,18,26,30,3
28,28,24124,2,14,15,17,25,30,11
29,29,24123,2,15,22,26,30,33,4
30,30,24122,5,7,9,16,17,29,15
31,31,24121,1,7,10,13,27,33,3
32,32,24120,1,5,7,11,18,19,7
33,33,24119,2,9,26,27,31,32,14
34,34,24118,2,3,4,6,11,15,14
35,35,24117,3,12,14,16,29,32,12
36,36,24116,1,15,20,22,31,32,3
37,37,24115,3,10,11,19,27,28,7
38,38,24114,7,11,18,24,27,32,4
39,39,24113,4,5,23,24,26,31,11
40,40,24112,8,11,16,25,29,32,3
41,41,24111,1,4,11,12,22,30,16
42,42,24110,4,13,17,23,25,33,14
43,43,24109,3,4,24,28,29,33,9
44,44,24108,1,8,9,23,24,30,8
45,45,24107,1,6,8,13,17,19,9
46,46,24106,3,8,11,22,31,33,4
47,47,24105,2,5,17,19,29,33,4
48,48,24104,5,16,23,24,26,29,4
49,49,24103,12,21,23,27,32,33,15
50,50,24102,9,15,18,21,22,25,1
51,51,24101,8,12,15,17,19,30,8
52,52,24100,13,14,19,20,27,30,5
53,53,24099,4,12,17,24,26,27,16
54,54,24098,3,8,10,20,30,31,2
55,55,24097,4,10,12,13,18,30,3
56,56,24096,2,4,14,18,23,27,13
57,57,24095,4,6,9,14,16,21,3
58,58,24094,6,13,17,22,25,27,9
59,59,24093,1,5,7,11,12,15,12
60,60,24092,3,8,11,12,18,29,5
61,61,24091,13,15,16,19,20,24,10
62,62,24090,7,11,17,24,31,32,12
63,63,24089,3,6,9,15,18,31,1
64,64,24088,3,8,10,17,30,32,10
65,65,24087,3,9,18,19,20,26,11
66,66,24086,17,19,20,23,25,31,2
67,67,24085,1,5,15,21,23,27,15
68,68,24084,1,8,10,13,19,29,13
69,69,24083,3,9,14,29,32,33,15
70,70,24082,1,2,13,16,17,29,16
71,71,24081,1,6,12,17,23,25,4
72,72,24080,6,11,12,27,29,30,13
73,73,24079,2,3,6,7,16,26,4
74,74,24078,5,9,14,21,22,26,12
75,75,24077,1,4,6,14,17,22,8
76,76,24076,3,22,24,27,29,32,15
77,77,24075,3,5,8,18,22,28,1
78,78,24074,7,8,10,22,24,32,7
79,79,24073,3,9,12,18,28,30,1
80,80,24072,1,14,20,21,23,27,6
81,81,24071,2,8,19,28,30,31,14
82,82,24070,4,13,18,20,22,28,5
83,83,24069,6,13,20,21,24,32,6
84,84,24068,1,2,7,19,20,21,1
85,85,24067,1,11,13,17,25,29,3
86,86,24066,8,9,12,22,26,32,13
87,87,24065,3,5,9,10,19,22,14
88,88,24064,6,8,17,18,28,30,5
89,89,24063,7,14,16,23,28,32,4
90,90,24062,1,7,10,16,18,27,16
91,91,24061,1,9,18,22,25,28,2
92,92,24060,1,2,6,10,22,28,15
93,93,24059,1,3,14,25,31,33,7
94,94,24058,8,12,13,17,27,29,13
95,95,24057,3,8,17,18,23,31,8
96,96,24056,5,18,20,24,25,26,6
97,97,24055,2,4,6,7,16,29,3
98,98,24054,8,13,20,25,31,32,3
99,99,24053,7,14,21,22,28,33,7
